source,target,weight
coronavirus,caduceus,1
coronavirus,calendar,1
coronavirus,canada,1
coronavirus,canadatogether,1
coronavirus,canpoli,1
coronavirus,careers,4
coronavirus,ceativemind,1
coronavirus,chicago,1
coronavirus,chinavirus,1
coronavirus,chinesevirus,1
coronavirus,churches,1
coronavirus,cnnsotu,1
coronavirus,coldandflu,1
coronavirus,conspiracytheorists,1
coronavirus,coronadatavirus,1
coronavirus,coronaoutbreak,1
coronavirus,coronaupdatesindia,2
coronavirus,coronavirusindia,1
coronavirus,coronavirusinindia,1
coronavirus,coronavirusinpakistan,1
coronavirus,coronaviruspandemic,1
coronavirus,coronavirustruth,1
coronavirus,coronavirusupdates,1
coronavirus,coronavirususa,1
coronavirus,coronavírus,1
coronavirus,covid,12
coronavirus,covid19,27
coronavirus,covid19australia,1
coronavirus,covid19greece,1
coronavirus,covid19india,1
coronavirus,covid19kenya,1
coronavirus,covid19ph,1
coronavirus,covid19testingkit,1
coronavirus,covid2019,2
coronavirus,covid_19,53
coronavirus,covid__19,2
coronavirus,covidindia,1
coronavirus,covidsafe,1
coronavirus,covidー19,4
coronavirus,craft,1
coronavirus,cureid,1
coronavirus,darktolight,1
coronavirus,day30oflockdown,1
coronavirus,detergent,1
coronavirus,disinfectant,1
coronavirus,disinfectantdonald,1
coronavirus,disinfectants,1
coronavirus,diy,1
coronavirus,donaldtrump,1
coronavirus,dontdrinkbleach,1
coronavirus,economy,1
coronavirus,environment,1
coronavirus,essentialworkers,1
coronavirus,fakenewschampions,1
coronavirus,famine,1
coronavirus,fast,1
coronavirus,fintech,1
coronavirus,flattenthecurve,1
coronavirus,flu,1
coronavirus,food,1
coronavirus,france,1
coronavirus,freeiran2020,2
coronavirus,groceryshopping,1
coronavirus,grocerystores,1
coronavirus,health,7
coronavirus,healthcare,1
coronavirus,healthfirst,1
coronavirus,healthylifestyle,1
coronavirus,herefordshire,1
coronavirus,hero,1
coronavirus,heroes,1
coronavirus,ifb,1
coronavirus,iftar,1
coronavirus,iitdelhi,1
coronavirus,illinois,1
coronavirus,indiafightscorona,1
coronavirus,injectdisenfectant,1
coronavirus,internet,3
coronavirus,iran,2
coronavirus,iranians,1
coronavirus,iranprotests,2
coronavirus,iranregimechange,2
coronavirus,irelandlockdown,1
coronavirus,iwmd20,1
coronavirus,jokes,1
coronavirus,kaduna,1
coronavirus,kag2020,1
coronavirus,kimjongun,2
coronavirus,kimjongundead,1
coronavirus,koch,1
coronavirus,labor,1
coronavirus,lancashire,1
coronavirus,level4lockdown,1
coronavirus,lions,1
coronavirus,lockdown,3
coronavirus,lockdown21,1
coronavirus,lockdownuk,1
coronavirus,ltc,1
coronavirus,maga2020,1
coronavirus,map,1
coronavirus,mask,1
coronavirus,maskon,1
coronavirus,media,1
coronavirus,mumbai,1
coronavirus,newdelhi,1
coronavirus,nhs,1
coronavirus,nhsthankyou,1
coronavirus,nigeria,1
coronavirus,notmeus,1
coronavirus,nyc,1
coronavirus,onpoli,1
coronavirus,openamericanow,1
coronavirus,outbreak,1
coronavirus,pandemic,2
coronavirus,pattern,1
coronavirus,pennsylvania,1
coronavirus,politics,1
coronavirus,presidentlysol,1
coronavirus,qanon,2
coronavirus,qarmy,1
coronavirus,qatar,2
coronavirus,qatarday,1
coronavirus,quarantine,2
coronavirus,quarantinelife,1
coronavirus,questioningcovid,1
coronavirus,qurantinelife,1
coronavirus,rawr,1
coronavirus,resist,2
coronavirus,riseupontario,1
coronavirus,russia,1
coronavirus,sadday,1
coronavirus,saturdaynight,1
coronavirus,scarborough,1
coronavirus,shahrukhkhan,1
coronavirus,sheep,1
coronavirus,social_distancing,1
coronavirus,socialistsunday,1
coronavirus,somalia,1
coronavirus,soovertherona,1
coronavirus,southwarwickshire,1
coronavirus,standup,1
coronavirus,stayathome,4
coronavirus,stayathomechallenge,1
coronavirus,stayhome,8
coronavirus,stayhomesavelifes,1
coronavirus,stayhomesavelives,3
coronavirus,stayhomesaveslives,1
coronavirus,stayhomestaysafe,1
coronavirus,staysafe,3
coronavirus,stevemnuchin,1
coronavirus,surveillance,1
coronavirus,taehyung,1
coronavirus,testing,1
coronavirus,thankyoufrontliners,1
coronavirus,torybritain,1
coronavirus,treatment,1
coronavirus,trump,1
coronavirus,trump2020,1
coronavirus,trumpdisinfectant,1
coronavirus,turkey,1
coronavirus,uae,1
coronavirus,ugh,1
coronavirus,uklockdown,1
coronavirus,ultraviolet,1
coronavirus,unitedstates,1
coronavirus,universnews,1
coronavirus,usa,2
coronavirus,vaccine,1
coronavirus,wearamask,1
coronavirus,worldmalariaday,1
coronavirus,wwg1wga,2
coronavirusbd,bangladesh,1
coronavirusbd,covid,1
coronaviruscrisis,bangladesh,1
coronaviruscrisis,covid19,1
coronaviruscrisis,telangana,1
coronaviruscrisis,world,1
coronavirusdelaware,decovid,1
coronavirusfrance,covid_19,1
coronavirusghana,covid_19,1
coronavirusghana,stayhome,1
coronavirusghana,washyourhand,1
coronavirusindia,coronavirus,1
coronavirusindia,covid_19,1
coronavirusindia,stayhomesaveslives,1
coronavirusinindia,covid_19,1
coronavirusinindia,local,1
coronavirusinindia,poor_people,1
coronavirusinindia,poverty,1
coronavirusinpakistan,coronavirususa,1
coronaviruslockdown,covid_19,1
coronaviruslockdown,fridayfeeling,1
coronaviruslockdownuk,coronacrisis,1
coronaviruslockdownuk,covid2019,1
coronaviruslockdownuk,covid_19,1
coronaviruslockdownuk,fishing,1
coronaviruslockdownuk,lockdownuk,1
coronavirusoutbreak,coronaupdate,1
coronavirusoutbreak,coronavirusindia,1
coronavirusoutbreak,coronaviruspandemic,1
coronavirusoutbreak,lockdown,1
coronavirusoutbreak,slnavy,1
coronavirusoutbreak,uklockdown,1
coronaviruspandemic,coronavirus,1
coronaviruspandemic,coronavirusoutbreak,1
coronaviruspandemic,covid_19,2
coronaviruspandemic,covid__19,1
coronaviruspandemic,qatar,1
coronaviruspandemic,qatarday,1
coronaviruspandemic,vetsresistsquadron,1
coronavirussa,coronavirusupdate,1
coronavirussweden,covid_19,1
coronavirusuk,covid19uk,1
coronavirusuk,covid_19,1
coronavirusupdate,coronavirus,1
coronavirusupdate,coronavirussa,1
coronavirusupdate,covidー19,1
coronavirusupdates,ajmer,1
coronavirusupdates,covid_19,1
coronavirusupdates,jaipur,1
coronavirusupdates,jodhpur,1
coronavirusupdates,nagaur,1
coronavirusupdates,rajasthan,1
coronawarrior,coronavirus,1
coronawarriors,covid,1
coronawarriors,delhipsychiatricsociety,1
coronawarriors,doctors,1
coronawarriors,hcws,1
coronawarriors,india,1
coronawillendsoon,coronavirus,1
correrxcorrer,lucia,1
correrxcorrer,runnersdelecion1p36,1
costablanca,ilovespain,1
cote_divoire,africa,1
cote_divoire,ivory_coast,1
couples,divorce,1
coupleschallenge,covid_19,1
coupleschallenge,jelaniii,1
coupleschallenge,jin,1
coupleschallenge,relationships,1
coupleschallenge,slowitdown,1
covid,afghanistan,2
covid,africanelections,1
covid,arynews,1
covid,autistic,1
covid,bangladesh,1
covid,bcofd,1
covid,boomer,1
covid,bri,1
covid,caduceus,1
covid,cancercare,1
covid,chelsea,1
